transaction_id,account_id,amount,currency,transaction_type,counterparty_id,counterparty_name,description,transaction_time,country_code,ip_address,device_id,risk_score
TXN-001,ACC001,150.00,USD,DEBIT,MERCH001,Amazon,Online purchase,2024-01-15T10:30:00Z,US,192.168.1.1,DEV001,25
TXN-002,ACC002,25000.00,USD,TRANSFER,MERCH002,Bank Transfer,Wire transfer,2024-01-15T11:00:00Z,US,192.168.1.2,DEV002,85
TXN-003,ACC003,5.50,USD,DEBIT,MERCH003,Starbucks,Coffee purchase,2024-01-15T11:15:00Z,US,192.168.1.3,DEV001,10
TXN-004,ACC001,75000.00,EUR,TRANSFER,MERCH004,International Bank,International wire,2024-01-15T12:00:00Z,DE,192.168.1.4,DEV003,95
TXN-005,ACC004,500.00,GBP,CREDIT,MERCH005,Refund Store,Refund payment,2024-01-15T12:30:00Z,GB,192.168.1.5,DEV002,30
TXN-006,ACC002,8.99,USD,DEBIT,MERCH006,Netflix,Subscription,2024-01-15T13:00:00Z,US,192.168.1.6,DEV001,15
TXN-007,ACC005,45000.00,USD,TRANSFER,MERCH007,Investment Corp,Investment transfer,2024-01-15T13:30:00Z,CN,192.168.1.7,DEV004,78
TXN-008,ACC003,1200.00,JPY,PAYMENT,MERCH008, Tokyo Store,Retail purchase,2024-01-15T14:00:00Z,JP,192.168.1.8,DEV001,45
TXN-009,ACC001,60000.00,USD,TRANSFER,MERCH009,High Value Corp,Large transfer,2024-01-15T14:30:00Z,US,192.168.1.9,DEV005,92
TXN-010,ACC006,3.50,USD,DEBIT,MERCH010,7-Eleven,Convenience store,2024-01-15T15:00:00Z,US,192.168.1.10,DEV001,5
TXN-011,ACC002,15000.00,EUR,TRANSFER,MERCH011,European Bank,Cross border transfer,2024-01-15T15:30:00Z,FR,192.168.1.11,DEV003,72
TXN-012,ACC007,99.99,USD,PAYMENT,MERCH012,Uber,Ride sharing,2024-01-15T16:00:00Z,US,192.168.1.12,DEV001,20
TXN-013,ACC008,85000.00,CNY,TRANSFER,MERCH013,China Corp,Business transfer,2024-01-15T16:30:00Z,CN,192.168.1.13,DEV006,88
TXN-014,ACC001,45.00,USD,DEBIT,MERCH014,Grocery Store,Groceries,2024-01-15T17:00:00Z,US,192.168.1.14,DEV001,12
TXN-015,ACC009,20000.00,USD,TRANSFER,MERCH015,Unknown Entity,Unknown transfer,2024-01-15T17:30:00Z,,192.168.1.15,DEV007,82
TXN-016,ACC010,2.99,USD,DEBIT,MERCH016,App Store,App purchase,2024-01-15T18:00:00Z,US,192.168.1.16,DEV001,8
TXN-017,ACC002,35000.00,GBP,TRANSFER,MERCH017,UK Bank,Property payment,2024-01-15T18:30:00Z,GB,192.168.1.17,DEV008,68
TXN-018,ACC003,500.00,USD,CREDIT,MERCH018,PayPal,P2P payment,2024-01-15T19:00:00Z,US,192.168.1.18,DEV001,35
TXN-019,ACC011,95000.00,USD,TRANSFER,MERCH019,Offshore Corp,Offshore transfer,2024-01-15T19:30:00Z,VG,192.168.1.19,DEV009,98
TXN-020,ACC012,15.00,USD,DEBIT,MERCH020,Gas Station,Fuel,2024-01-15T20:00:00Z,US,192.168.1.20,DEV001,18
